user_id,ts_start,keys_total,clicks_total,scroll_delta,moved_distance,session_num
1144,2024-04-03 22:20:56,0,0,0.0,0.0,9.0
1144,2024-04-03 22:21:06,0,0,0.0,0.0,9.0
1144,2024-04-03 22:21:16,0,0,0.0,2.0,9.0
1144,2024-04-03 22:21:26,0,0,0.0,0.0,9.0
1144,2024-04-03 22:21:36,0,0,0.0,7.0,9.0
1144,2024-04-03 22:21:46,0,0,0.0,0.0,9.0
1144,2024-04-03 22:21:56,0,0,0.0,2.0,9.0
1144,2024-04-03 22:22:06,0,0,0.0,2.0,9.0
1144,2024-04-03 22:22:16,0,0,0.0,0.0,9.0
1144,2024-04-03 22:22:26,0,0,0.0,0.0,9.0
1144,2024-04-03 22:22:36,0,0,0.0,0.0,9.0
1144,2024-04-03 22:22:46,0,0,0.0,0.0,9.0
1144,2024-04-03 22:22:56,0,0,0.0,3.0,9.0
1144,2024-04-03 22:23:06,0,0,0.0,0.0,9.0
1144,2024-04-03 22:23:16,0,0,0.0,0.0,9.0
1144,2024-04-03 22:23:26,0,0,0.0,237.0,9.0
1144,2024-04-03 22:23:36,0,0,2520.0,0.0,9.0
1144,2024-04-03 22:23:46,0,0,0.0,1.0,9.0
1144,2024-04-03 22:23:56,0,0,0.0,0.0,9.0
1144,2024-04-03 22:24:06,0,0,0.0,0.0,9.0
1144,2024-04-03 22:24:16,0,0,0.0,6.0,9.0
1144,2024-04-03 22:24:26,0,0,0.0,16.0,9.0
1144,2024-04-03 22:24:36,0,0,0.0,1.0,9.0
1144,2024-04-03 22:24:46,0,0,0.0,11.0,9.0
1144,2024-04-03 22:24:56,0,0,0.0,0.0,9.0
1144,2024-04-03 22:25:06,0,0,0.0,32.0,9.0
1144,2024-04-03 22:25:17,0,0,0.0,0.0,9.0
1144,2024-04-03 22:25:27,0,0,1560.0,112.0,9.0
1144,2024-04-03 22:25:37,0,0,120.0,15.0,9.0
1144,2024-04-03 22:25:47,0,0,480.0,0.0,9.0
1144,2024-04-03 22:25:57,0,0,0.0,1.0,9.0
1144,2024-04-03 22:26:07,0,0,0.0,12.0,9.0
1144,2024-04-03 22:26:17,0,0,0.0,0.0,9.0
1144,2024-04-03 22:26:27,0,0,0.0,0.0,9.0
1144,2024-04-03 22:26:37,0,0,0.0,9.0,9.0
1144,2024-04-03 22:26:47,0,0,0.0,13.0,9.0
1144,2024-04-03 22:26:57,0,0,0.0,0.0,9.0
1144,2024-04-03 22:27:07,0,0,0.0,1.0,9.0
1144,2024-04-03 22:27:17,0,0,0.0,15.0,9.0
1144,2024-04-03 22:27:27,0,0,0.0,10.0,9.0
1144,2024-04-03 22:27:37,0,1,720.0,896.0,9.0
1144,2024-04-03 22:27:47,0,2,3240.0,418.0,9.0
1144,2024-04-03 22:27:57,0,0,4440.0,21.0,9.0
1144,2024-04-03 22:28:07,0,0,0.0,364.0,9.0
1144,2024-04-03 22:28:17,0,1,360.0,182.0,9.0
1144,2024-04-03 22:28:27,0,1,360.0,133.0,9.0
1144,2024-04-03 22:28:37,0,0,0.0,90.0,9.0
1144,2024-04-03 22:28:47,0,1,3840.0,197.0,9.0
1144,2024-04-03 22:28:57,0,1,360.0,1667.0,9.0
1144,2024-04-03 22:29:07,0,0,0.0,9.0,9.0
1144,2024-04-03 22:29:17,0,0,0.0,162.0,9.0
1144,2024-04-03 22:29:27,2,1,0.0,1527.0,9.0
1144,2024-04-03 22:29:37,1,0,0.0,0.0,9.0
1144,2024-04-03 22:29:47,0,0,0.0,0.0,9.0
1144,2024-04-03 22:29:57,0,0,0.0,0.0,9.0
1144,2024-04-03 22:30:07,0,0,0.0,0.0,9.0
1144,2024-04-03 22:30:17,0,0,0.0,0.0,9.0
1144,2024-04-03 22:30:27,0,0,0.0,0.0,9.0
1144,2024-04-03 22:30:37,0,0,0.0,0.0,9.0
1144,2024-04-03 22:30:47,0,0,0.0,0.0,9.0
1144,2024-04-03 22:30:57,0,0,0.0,0.0,9.0
1144,2024-04-03 22:31:07,0,0,0.0,0.0,9.0
1144,2024-04-03 22:31:17,0,0,0.0,0.0,9.0
1144,2024-04-03 22:31:27,0,0,0.0,0.0,9.0
1144,2024-04-03 22:31:37,0,0,0.0,0.0,9.0
1144,2024-04-03 22:31:47,0,0,0.0,0.0,9.0
1144,2024-04-03 22:31:57,0,0,0.0,0.0,9.0
1144,2024-04-03 22:32:07,0,0,0.0,0.0,9.0
1144,2024-04-03 22:32:17,0,0,0.0,0.0,9.0
1144,2024-04-03 22:32:27,0,0,0.0,0.0,9.0
1144,2024-04-03 22:32:38,0,0,0.0,0.0,9.0
1144,2024-04-03 22:32:48,0,0,0.0,0.0,9.0
1144,2024-04-03 22:32:58,0,0,0.0,0.0,9.0
1144,2024-04-03 22:33:08,0,0,0.0,0.0,9.0
1144,2024-04-03 22:33:18,0,0,0.0,0.0,9.0
1144,2024-04-03 22:33:28,0,0,0.0,0.0,9.0
1144,2024-04-03 22:33:38,0,0,0.0,0.0,9.0
1144,2024-04-03 22:33:48,0,0,0.0,0.0,9.0
1144,2024-04-03 22:33:58,0,0,0.0,0.0,9.0
1144,2024-04-03 22:34:08,0,0,0.0,0.0,9.0
1144,2024-04-03 22:34:18,0,0,0.0,0.0,9.0
1144,2024-04-03 22:34:28,0,0,0.0,0.0,9.0
1144,2024-04-03 22:34:38,0,0,0.0,0.0,9.0
1144,2024-04-03 22:34:48,0,0,0.0,0.0,9.0
1144,2024-04-03 22:34:58,0,0,0.0,0.0,9.0
1144,2024-04-03 22:35:08,0,0,0.0,0.0,9.0
1144,2024-04-03 22:35:18,0,0,0.0,0.0,9.0
1144,2024-04-03 22:35:28,0,0,0.0,0.0,9.0
1144,2024-04-03 22:35:38,0,0,0.0,0.0,9.0
1144,2024-04-03 22:35:48,0,0,0.0,0.0,9.0
1144,2024-04-03 22:35:58,0,0,0.0,0.0,9.0
1144,2024-04-03 22:36:08,0,0,0.0,0.0,9.0
1144,2024-04-03 22:36:18,0,0,0.0,0.0,9.0
1144,2024-04-03 22:36:28,0,0,0.0,0.0,9.0
1144,2024-04-03 22:36:38,0,0,0.0,0.0,9.0
1144,2024-04-03 22:36:48,0,0,0.0,0.0,9.0
1144,2024-04-03 22:36:58,0,0,0.0,0.0,9.0
1144,2024-04-03 22:37:08,0,0,0.0,1352.0,9.0
1144,2024-04-03 22:37:18,0,3,0.0,3402.0,9.0
